DealName	Account	EscalatorPct	DealOptionStatus	OptionDeadline	DealOptionDecision	OptionNegotiationWindow	DealOptionNotes	PlayoffOptionStatus	PlayoffOptionDeadline	PlayoffOptionDecision	PlayoffOptionNote
Premera Blue Cross - 2026	Premera Blue Cross	5	unknown			None - extension or renewal only by mutual written agreement	First Amendment (executed, effective 1/1/2026) restated Sec 2(a): Term runs through 12/31/2028 and 'may be extended or renewed upon mutual written agreement of the parties.' NEITHER opt-in NOR opt-out. FEE RESET, NOT AN ESCALATION: the base agreement priced 2026 at $52,500; the Amendment resets it to $92,500 (+76.2%). The 5.0% escalator applies only inside the amended window - 2026 $92,500 / 2027 $97,125 / 2028 $101,981. Corroborated by PO-000007491 dated 3/16/2026, total $291,606. Separate 30-day ROFR on the 'Official Health Plan' category. SCANNED SOURCE - the 2026 fee-table row is OCR-garbled; $92,500 read from the payment schedule and confirmed against the PO.	out			1st Am. Sec 5(a): 'Playoffs: Intentionally omitted.' Base Exh. C: 'Intentionally omitted.' CAUTION: base Sec 3(c) still carries template opt-out language pointing at the empty Exh. C, so there is nothing to opt out of. Recommend striking at the next amendment.
Progressive - 2026	Progressive		unknown			None - single-season letter agreement with no extension mechanism	LETTER AGREEMENT dated 5/7/2026. THE PAYOR IS VAN WAGNER DORNA, LLC, not Progressive - Van Wagner is the media agency and pays the Storm 'as its sole consideration'; Progressive is named only as the Client. Term is the 2026 WNBA Regular Season only. $50,000 due 9/1/2026. NO ESCALATOR - single season, col J correctly 'N'. No renewal or extension mechanism. Benefits are TV-visible courtside and in-arena LED, one minute of camera-visible time, but only during home games broadcast on LOCAL television - payment reduces pro rata for WNBA national pick-ups. Force 10 may TERMINATE IMMEDIATELY if it accepts a bona fide offer for the insurance category or for these benefits as part of a larger sponsorship. GOVERNED BY NEW YORK LAW - the only agreement in the portfolio not under Washington law.	out			Playoffs are not mentioned anywhere. The Term is expressly the 2026 Regular Season, so no playoff benefits or fees exist.
Providence Swedish - 2026 - Storm	Providence Swedish	3	opt-out	2027-12-15		Written notice by 12/15/2027; one 5-year extension only; Providence-only right	Sec 2(b): ONE-SIDED - only PARTNER may decline, the only such clause in the portfolio. Term auto-extends one additional FIVE-year period (through 12/31/2032) unless Providence Swedish notifies Force 10 in writing by 12/15/2027. Force 10 has no matching right, and on extension 'the same terms and conditions shall remain in full force and effect' - so Force 10 is locked into the 3.0% escalator through 2032 with no repricing right. Initial Term 1/1/2023-12/31/2027. COMMITTED value of the Initial Term is $5,309,135; the $11,463,870 table total includes the five renewal years, which add $6,154,735. Fees 2026 $1,092,727 / 2027 $1,125,508; renewal 2028-2032 $1,159,273 -> $1,304,771. Two equal installments Jan 1 and Jun 1. First Amendment (eff. 4/1/2024) changed no fees or term; it added Training Center benefits, amended Exh. A Sec D(2), and DELETED Exh. A Sec E(4)(ii). The other Providence row is a duplicate at $1,092,727.30; the contract says $1,092,727.00 exactly, so THIS row is correct.	in			Sec 3(c): no opt-out. Playoffs IN and the most expensive in the set: $6,309 per home game 1st round (max 2), $6,857 semis (max 3), $8,229 Finals (max 3) - up to ~$61,000 per postseason, mandatory.
Seattle Children's - 2026	Seattle Children's	3	unknown			None - Sec 2(b) Option to Extend reads 'Intentionally omitted'	Sec 2(b): 'Intentionally omitted.' There is NO ordinary renewal option. ONE EXCEPTION: Sec 3(h)(ii)(C) - if more than 50% of a Contract Year's games are cancelled by a Work Stoppage, the Term extends by one year with an additional fee equal to the most recently paid fee. Term is Effective Date (6/1/2026) through 12/31/2028 = 3 contract years (col G corrected from the Dynamics value of 1). NOTE the 2026 figure is a STUB PERIOD - $76,700 covers 6/1-12/31/2026 only, so the 3.0% step to $79,001 is applied off a seven-month base. Fees $76,700 / $79,001 / $81,371, total $237,072.	in			Sec 3(c): no opt-out. Playoffs IN, priced per home game: 1st round $207 (max 2), Semis $259 (max 3), Finals $389 (max 4). Benefit is two club seats per game.
Snoqualmie Casino - 2026	Snoqualmie Casino	5	opt-out	2027-12-01		Written notice by 5:00pm PT 30 days prior to the end of the then-current Term	Sec 2(b): auto-extends up to TWO additional 12-month periods unless either party gives written Notice of Termination by 5:00pm Pacific 30 days before the end of the then-current Term. Initial Term ends 12/31/2027, deadlines 12/1/2027 and 12/1/2028. Effective 4/1/2025. Fees 5.0%: 2025 $185,940 / 2026 $195,237 / 2027 $204,999; EXTENSION YEARS PRE-PRICED at 2028 $215,249 / 2029 $226,011; total $1,027,436 if both run. Two equal installments March 31 and June 30. Two PDFs provided are the same agreement, but only the FEA copy carries the DocuSign envelope and Force 10 signature. SCANNED SOURCE - the text layer is unusable and everything came from OCR; year labels garbled but figures and the 5.0% progression are unambiguous and 2026 matches Deal Total exactly.	in			Sec 3(c): no opt-out. Playoffs IN, priced per home game: 1st round $2,300 (max 2), Semis $2,500 (max 3), Finals $3,000 (max 4).
Sound Transit - 2026	Sound Transit	3	opt-out	2025-12-01		30 days' written notice prior to expiration of Term or Extension Term	Sec 2(b): initial Term ran only through 12/31/2024, then auto-extends up to TWO additional 12-month periods unless either party gives 30 days' written notice. 2025 was the first extension and 2026 is the SECOND AND FINAL one - deadline 12/1/2025, passed. No further extension years exist, so 2026 is the last contracted season unless a new deal is signed. Fees 2024 $30,000 / 2025 $50,000 / 2026 $51,500; the 2024->2025 jump is a restructure, the true escalator is 3.0% from 2025 to 2026. CONTRACT 2026 FEE IS $51,500 vs $53,500 Deal Total - see Discrepancies.	in			Sec 3(c): no opt-out. Playoffs IN, and Sec 5(a) caps the Annual Playoff Sponsorship Fee - the only express playoff cap in the portfolio: 'shall not exceed $5,275 in the 2024 season and $10,550 in the 2025 and 2026 seasons.' THE 2026 CAP IS $10,550. Incremental Games capped separately at $4,000 (2025) and $8,000 (2026); overall term not-to-exceed $169,875.
Southwest Plumbing - 2026	Southwest Plumbing	5	opt-out	2027-12-01		30 days' written notice prior to expiration of Term or Extension Term	Sec 2(b): auto-extends up to TWO additional 12-month periods unless either party gives 30 days' written notice. Term through 12/31/2027, first deadline 12/1/2027, and the Term is hard-capped - 'maximally extended to December 31, 2029'. Fees 2025 $200,000 / 2026 $210,000 / 2027 $220,500 = 5.0%, total $630,500. UNLIKE SOWA AND SNOQUALMIE the extension years are NOT pre-priced, so the escalator has no stated basis past 2027 - the 2028-2029 price would need to be agreed. SCANNED SOURCE - image-only PDF, all data from OCR; the annual fee table is clean and 2026 matches Deal Total exactly.	in			Sec 3(c): no opt-out. Playoffs IN, priced in Exh. C.
Special Olympics Washington 2026	Special Olympics Washington	5	opt-out	2027-12-01		30 days' written notice prior to expiration of Term - governs a 36-month, $380,407 extension	Sec 2(b): auto-extends one additional THIRTY-SIX month period unless either party gives 30 days' written notice before the 12/31/2027 expiration - the longest single auto-extension in the portfolio after Providence. THE EXTENSION IS PRE-PRICED THROUGH 2030 at the same 5.0%: 2028 $120,668 / 2029 $126,702 / 2030 $133,037, totalling $380,407. A missed notice MORE THAN DOUBLES the deal, from $328,610 to $709,017. Initial fees 2025 $104,238 / 2026 $109,450 / 2027 $114,922.	out			Sec 3(c): 'Intentionally omitted.' Exh. C: 'Intentionally Omitted.' No playoff option and none included. CAUTION: TWO dangling references to the empty Exhibit C survive, at Sec 3(a) and Sec 5(a). Same drafting artifact as Premera. Recommend striking both.
Starbucks - 2026	Starbucks	3	unknown			120-day good-faith Negotiation Period commencing no later than 8/30/2028; at least two meetings	Sec 2(b) is 'Intent to Renegotiate', not an option to extend - NEITHER opt-in NOR opt-out. From no later than 8/30/2028 the parties must negotiate in good faith for 120 days toward a NEW agreement, meeting at least twice. Term is Effective Date (1/31/2024) through 12/31/2028 = 5 contract years. Base fee 3.0%: 2024 $531,650 / 2025 $547,600 / 2026 $564,027 / 2027 $580,948 / 2028 $598,377, total $2,822,602. The Sec 5(a) escalator applies to Playoff, Incremental Game, Trade and Training Center fees as well as the base. SEPARATE UPSELL tracked on the Storm Upsell row - combined 2026 exposure is $725,122.	in			Sec 3(c): no opt-out. Playoffs IN, priced in Exh. C.
Starbucks - 2026 - Storm Upsell	Starbucks	3	unknown			Follows the base agreement	This row is the FIRST AMENDMENT to the Starbucks agreement (executed, effective 5/18/2026), adding an 'Incremental Annual Sponsorship Fee' on top of the base fee: 2026 $161,095 / 2027 $165,928 / 2028 $170,906 = 3.0%, total incremental $497,929. Deal Total $161,095 matches the 2026 figure exactly. The Amendment also restated Section D of Exhibit A. All other terms follow the base agreement - the two Starbucks rows are one commercial relationship worth $725,122 in 2026.	in			Follows the base agreement - playoffs are IN with no opt-out.
Symetra - 2026 - Storm	Symetra	3.506	opt-in	2026-10-31		Sponsor must give written notice within 30 days after the end of the 2026 Storm WNBA season, then a 60-day exclusive negotiation window	RESOLVED with the 2019 original agreement. Term 1/31/2019 through 12/31/2028 (10 years). THE 2026 DEAL TOTAL RECONCILES EXACTLY: base Annual Sponsorship Fee $394,780 (2019 original, Table A) + Presenting Sponsorship Fee $173,892 (3rd Amendment) + Additional Sponsorship Fee $30,500 (4th Amendment) = $599,172. THREE SEPARATE ESCALATORS: the base fee runs at 4.0% annually from $300,000 (col K shows this base rate), the Presenting fee at 3.0%, and the Additional fee is flat. Base fee 2026 $394,780 / 2027 $410,571 / 2028 $426,994. The 2019 row reads $400,000 because it bundles a one-time $100,000 Presenting Partner fee expressly excluded from the escalator base. DEAL OPTION IS TIME-CRITICAL: Sec 2(a) gives Sponsor an exclusive right of first negotiation for an Additional Term, but Symetra must notify Force 10 in writing NO LATER THAN 30 DAYS AFTER THE END OF THE 2026 STORM WNBA SEASON, after which a 60-day exclusive negotiation window runs to a 'Renewal Deadline'. The date in col M is an ESTIMATE - confirm the actual season end. INFERENCE, NOT A DOCUMENTED FACT: the front-jersey option (+$250,000/yr, 3%, exercisable by 5/2/2020) appears never to have been exercised, because the Table A base schedule reconciles exactly; the file does not record the decision either way.	opt-in	2026-02-15		3rd Amendment Sec (g): from 2022 Sponsor MUST affirmatively opt in each season by written notice no later than February 15. If Sponsor does not opt in, Force 10 is free to sell the Playoff Benefits to third parties. Largest playoff exposure in the portfolio: Full Activation $20,000 per home game in Round 1 up to $30,000 per Finals home game, total range $10,000-$224,000; Limited Activation fallback $110,000.
The Advocates - 2026	The Advocates	10	opt-out	2026-12-01		30 days' written notice prior to expiration of Term	Sponsor entity is Driggs, Bills & Day PLLC. Sec 2(b): Term ends 12/31/2026 and auto-extends one additional 24-month period unless either party gives 30 days' written notice - deadline 12/1/2026, LIVE. The extended Term may not run past 12/31/2028. THE 2026 FIGURE IS A STUB PERIOD - Effective Date 5/19/2026, so $210,692 buys roughly seven months. That is why 2026 -> 2027 reads as +25.4%; the actual escalator is the 10.0% from 2027 ($264,248) to 2028 ($290,672), shown in col K. Total $765,612 if fully extended, so the 12/1/2026 notice governs ~$555,000 of future revenue. Sec 3(c) is softened to 'To the extent permitted by the WNBA'.	in			Sec 3(c): no opt-out. Playoffs IN, priced in Exh. C.
US Bank 2026	U.S. Bank	5	opt-out	2026-11-15		Written notice by November 15 of the applicable calendar year	Sec 2(b): initial Term ends 12/31/2025 and auto-extends up to TWO additional 12-month periods unless either party gives written Notice of Termination by NOVEMBER 15 of the applicable calendar year - a fixed calendar date, unlike the '30 days before expiry' form used elsewhere. The 2026 season exists via the first extension (deadline 11/15/2025, passed); 2027 runs on the second, deadline 11/15/2026 - STILL OPEN. The initial Term is 1 year with 2 option years, not a 3-year deal. Fees 2025 $75,000 / 2026 $78,750 / 2027 $82,687.50 = 5.0%. DRAFTING ERRORS: both 2025 installments are dated April 15, 2025, and the 2027 table prints '$ 67.687.50' and '$ 82.687.50' with periods for commas. CONTRACT 2026 FEE IS $78,750 vs $100,000 Deal Total - see Discrepancies.	out			Sec 3(c): 'Intentionally omitted.' No playoff option and none included; no Exhibit C exists in the document.
WaFd Bank - 2026	WaFd Bank	3	opt-out	2024-11-30		Written notice by 5:00pm PST on November 30, 2024 (a fixed date, now passed)	Sec 2(b): initial Term ran through 12/31/2024 and auto-extends ONE additional 24-month term unless Partner gave written notice by 5:00pm PST on NOVEMBER 30, 2024 - a hard-coded date rather than a rolling window. That deadline passed without notice, so the extension took effect and 2025-2026 are the extension years, 'maximally extending the Term to December 31, 2026'. THERE ARE NO FURTHER EXTENSION YEARS - 2026 is the last contracted season, so 2027 is a fresh negotiation, not a renewal notice. Fees 3.0%: 2023 $153,750 / 2024 $158,362 / 2025 $163,112 / 2026 $168,005, total $643,229, two equal installments March 1 and September 1.	in			Sec 3(c): no opt-out. Playoffs IN, priced in Exh. C.
Washington's Lottery - 2026	Washington's Lottery		opt-in	2026-11-30		Advertiser must give written notice by 11/30/2026 at 5:00pm PST, and Force 10 must also agree	OPT-IN WITH A HARD STOP. Sec 2(b): 'The Term of this Agreement shall remain in effect for the Term' - there is NO auto-renewal. Washington's Lottery may extend for one additional 12-month period ONLY with mutual consent, by giving written notice by 11/30/2026 at 5:00 P.M. PST. If it does not, 'the Agreement will terminate on December 31, 2026, at 11:59 P.M.' Force 10 must also agree, so this is opt-in on both sides. NO ESCALATOR - flat $55,000 for both 2025 and 2026 (and the 2027 extension year), so col J is correctly 'N'. Total $110,000, one installment each March 31.	opt-out	2026-08-15		Sec 3(c) DOES contain an opt-out: Advertiser may opt out of the Playoffs and Exh. C benefits on written notice at least 30 days before the WNBA Playoffs begin, or August 15, whichever comes first. Exh. C prices an Annual Playoff Advertisement Fee. Note a drafting slip in Sec 2(b): the notice obligation is on 'Advertiser' but the failure clause names 'Partner', an undefined term.
Xfinity - 2026	Xfinity		opt-out	2027-12-31		Early Termination Notice on or before 12/31/2027; separate Right of First Negotiation 10/1/2028-12/31/2028	Comcast/Xfinity, bespoke paper rather than the Force 10 template. Signed 4/13/2026 with a RETROACTIVE Effective Date of 2/2/2026. Term runs to 12/31/2028, expressly 3 Contract Years. Sec 1(b): EITHER party may terminate for convenience by written notice on or before 12/31/2027, effective 12/31/2027, with a pro-rata refund - so the option behaves as an opt-out. Sec 1(c) adds a Right of First Negotiation running 10/1/2028-12/31/2028, during which Force 10 may not negotiate with third parties in the Exclusive Categories. NO ESCALATOR - CY1 and CY2 are both $390,000 base, so col J is 'N'. The fee is VOLUME-VARIABLE instead: minimum $1,170,000, maximum $1,230,000, with CY2 and CY3 rising only if the WNBA adds games beyond 44. DRAFTING CONFLICT: the per-year maxima ($390,000 + $420,000 + $450,000) sum to $1,260,000, exceeding the stated $1,230,000 ceiling by $30,000. CY1 2026 $390,000 in two installments of $195,000.	opt-out	2026-08-15		Sec 2: Sponsor may opt out of the Exh. C Playoff Benefits by written notice - email sufficing - at least 30 days before the WNBA Playoffs begin, or August 15, whichever comes first.
